review,sentiment
tighter drama better film sister rivalry little gem mainly promoted comedy upon release sweden glad find whole case funny bit small town bickering enjoy surely drama take center stage story progress family drama also raise poignant question respecting difference people lifestyle choice br br great character ensemble many superb moving dramatic scene score credibility point scattershot hold everything place make assume ingmar bergman made drama would suit international attention probably would immediate br br ozjeppe,1
piece crap might acclaimed year ago one racist movie ever made native american indian played white men right wing republican james stewart huge racist real life like close friend john wayne stewart actor hal williams fired jimmy stewart show short lived series mercifully flopped williams black bad enough film dated boring watch dance wolf instead less racist view br br stewart forty awful movie made even ridiculous wig still looked like paedophile chasing year old debra paget surprised even allowed br br,0
another good stooge short christine mcintyre lovely evil time one great actress stooge good especially shemp larry good one watch around autumn time,1
expecting star trek d premiered slight d wonderful show right however never really gave fan wanted enterprise show similarity original trek differs enough original way make idea exploration exciting u one primary ingredient made original loved another ingredient success relationship evolved crew member viewer really cared deeply crew enterprise much promise area well chemistry bakula blalock seems promising sexual tension show often become crutch feel tension enterprise lead much say alot typical think deal grand scale character different race specie even get interesting idea television also note performance blalock convincing vulcan pol bacula really whimsy strength character delivers great performance rest cast delivered good performance also gripe follows theme good different little light hearted liking need something little grand orchestral maybe something little electronic sound would suffice one complaint sell many add could fix selling less ad making show two parters otherwise end seeing show final act getting wrapped way quickly one complaint voyager,1
decide watch wild rebel expect anything deep meaningful looking film explores relationship structure motorcycle gang wild rebel wrong movie looking expose breakdown american educational system problem juvenile delinquency wild rebel wrong movie looking movie examines undermanned rural police department facing well financed well organized gang wild rebel wrong movie looking absurd movie filled scene scene unintentional humor horrendous acting paper thin plot community theater style production value wild rebel right movie br br wild rebel story luck stock car driver named rod tillman steve alaimo fiery crash rod walk away completely unscathed despite cotton pant london fog style jacket protection rod decides give plan future wander aimless back road south stumble satan angel motorcycle gang gang three stupidest guy ever zip leather jacket woman seem share group hoodlum spends time terrorizing rural town florida committing atrocity stealing newspaper neighbor mailbox bumbling idiot need someone act driver larger crime planned apparently three einstein drive vehicle two tire four recruit rod perform feat daring experienced stunt driver would capable like keeping car middle gravel road low speed chase eventually hold bank get aforementioned low speed chase lamest gun battle police ever put film could go forever get idea br br hate term bad good seems aptly describe wild rebel,0
co directed starring rutger hauer film short based short story dutch writer harry murlisch br br minute film length get see life time harry unravels long time fascination room pass constantly youth returning city many year later find rented room br br using black white film texture accentuated delicate telling tale voice harry drawing world br br subtle tight performance rutger hauer non speaking character wonderful soundtrack dutch musician dyzack br br moment difficult see movie available dvd region l infidele liv ullman bonus track due released dvd hitcher another tight different performance hauer br br see film,1
art house maven dream overrated overpraised overdone pretentious melange deserve best picture merit dwarfed competition start place sun detective story streetcar named desire abbott costello meet invisible man name came better arthouse crapola closing ballet claptrap intellectual crowd place wrong movie actor time less capable acting less charismatic kelly caron worst saw movie among worst best picture oscar winner,0
ostensibly story young child jimmy stewart doris day kid get kidnapped keep parent quiet know something plot assassinate ambassador unnamed country performance albert hall london br br movie rich hitchcockian incident friendly opaque frenchman seems grill innocent stewart doctor indiana little intensely merely idly curious later frenchman show arab disguise knife back whisper information murder plot stewart stewart tell wife doris day looking saucy indeed refuse cooperate police risk son life br br instead couple try track assassin buy get son back taking morocco hitchcock given u usual tourist eye view custom location food london hilarious wild goose chase involving set stewart staff taxidermy shop staff concerned guarding half stuffed specimen anything else shuffle around protectively holding carcass leopard swordfish course scuffle stewart manages save throat cut swordfish bill bitten hand stuffed tiger action boosted along bernard hermann bumptious score scene end stewart rushing door hitchcock end shot lion head gaping slammed door also running gag well done visitor waiting around couple hotel room london waiting thing explained br br two serious issue lightly touched one relationship stewart day rosy ought considered bourgeois ideal stage musical star year internationally known given marry ordinary guy happens doc understandable say nurse flight attendant almost woman international star promising career right delved edginess noticeable original version reminds little exchange joe dimaggio wife marilyn monroe returned entertaining troop korea oh joe gushed ever see ten thousand people stand cheer seventy thousand muttered joe former hero new york yankee br br second problem one allegiance greater social value one young son unknown ambassador put loved one risk sake national stability day faced dilemma starkest form climax albert hall solution opts allegiance political stability although motif problematic scream save ambassador life release anxiety overwhelming cf alec guiness falling detonator end bridge river kwai photography extremely good setting menacing even quiet street residential neighborhood london mid day stewart alone determined frightened footstep echoing gulliver street someone somewhere followed life danger hell everybody life street hitchcock pay close attention location detail make garden wall bonding brick beside br br director rare disagreement francois truffaut interviewed truffaut otherwise laudatory book truffaut argued earlier version man knew much lacked depth later version hitchcock replied seems want make film art house audience finally agreed version work talented amateur version work professional argument br br hitchcock pretty much near zenith,1
korine established talented impressive image maker promotional poster mister lonely include film impressive composition though one particular yet see promo material blue clad nun teasing dog stick surrounded green forest torrential rain pouring opening image film michael jackson lookalike diego luna riding small motorbike round track strangely compelling beautiful roy orbison mister lonely play soundtrack image unfold slow motion also funny terrific sequence character mime dance without music though radio sits like silent dog next middle paris street korine splice sound effect jump cut evoke feeling futility dogged liberation character dance routine br br first instance segment dealing nun also strangely poignant father umbrillo werner herzog autocratic priest fly nun drop food impoverished area nearby scene light hearted affecting herzog must deal stubbornly enthusiastic local wish make plane trip order see wife san francisco exchange develops herzog draw man confession sinned frequent infidelity cause wife left first place scene short sweet gain particular weight one learns improvised origin sinner played non actor set korine co filming adulterous way given real life lasting overwhelming guilt br br henceforth film hit miss succession intrinsically interesting moment add frivolous muddled narrative whereas gummo julien donkey boy maintain aesthetic emotional weight via coherent structural framework mister lonely feel like victim editing room ruthlessness scene cut film would otherwise painted fuller picture certain character due continuity error costume result doubt due absence shooting script korine tendency improvisation one deleted scene particular charlie chaplin denis lavant madonna melita morgan sex would added much emotional conflict scene later film spoil deflate feeling warmth celebration half succeeds br br two strand narrative unconnected literally best approached two entirely different story allegorical meaning one compliment vice versa something conflict one ambition reality current situation enough herzog scene merit place film connection two allegorically connected thread inevitably strained inclusion retrospect tedious br br ambitious step forward julien donkey boy suffers mostly least lookalike segment far many character film running length flaw would even worse big star name played everyone originally planned br br many imagery self contained beauty moment real genuine connection soundtrack feel like much suited art installation photo exhibition exploration mimesis nature impersonation lose none power indeed would perhaps impressive loneliness attached iconic performativity encountered icon aspire like well captured image wherein marilyn monroe gorgeous samantha morton seduces camera seven year itch pose middle forest sammy davis jr jason pennycooke settle post dance rehearsal back camera overlooking incredible tranquil lake br br moment like title randomly chosen michael jackson song crawl across scene married one another film narrative far less affecting br br see lost faith egg singing scene late know scene mean stick like sore thumb sort gimmicky attempt new cinematic language korine previously hailed,0
watching movie think last year must say never felt bad felt watching extra large bore movie bad bad song song nobody watch movie director shown german speaking english rubbish german speak english one scene white girl asked himesh autograph obv must gave money promo shown prepare laughing riot could say one scene himesh laughing reason may think funny hansika good like angel young yr old plenty time know watch movie else waste money,0
